px,pz,end_speed,pitch_type,b_score,ab_id,b_count,s_count,outs,pitch_num,on_1b,on_2b,on_3b,pitch_type_code,year,inning,p_score,type_B,type_S,type_X,stand_L,stand_R
0.161,1.79,79.1,2,0.0,2015006928,1.0,2.0,0.0,4.0,0.0,0.0,0.0,BR,2015,5,2,0,0,1,0,1
0.6829999999999999,2.944,82.0,1,0.0,2015006929,0.0,0.0,1.0,1.0,0.0,0.0,0.0,FB,2015,5,2,0,1,0,0,1
0.493,2.7230000000000003,82.9,1,0.0,2015006929,0.0,1.0,1.0,2.0,0.0,0.0,0.0,FB,2015,5,2,0,1,0,0,1
-0.287,1.758,79.4,2,0.0,2015006929,0.0,2.0,1.0,3.0,0.0,0.0,0.0,BR,2015,5,2,0,1,0,0,1
1.4769999999999999,3.037,84.9,1,0.0,2015006929,0.0,2.0,1.0,4.0,0.0,0.0,0.0,FB,2015,5,2,1,0,0,0,1
1.544,1.864,84.2,1,0.0,2015006929,1.0,2.0,1.0,5.0,0.0,0.0,0.0,FB,2015,5,2,1,0,0,0,1
-0.275,1.7890000000000001,84.3,1,0.0,2015006929,2.0,2.0,1.0,6.0,0.0,0.0,0.0,FB,2015,5,2,0,1,0,0,1
-1.06,3.5239999999999996,85.3,1,0.0,2015006929,2.0,2.0,1.0,7.0,0.0,0.0,0.0,FB,2015,5,2,1,0,0,0,1
-1.4509999999999998,3.1510000000000002,85.1,1,0.0,2015006929,3.0,2.0,1.0,8.0,0.0,0.0,0.0,FB,2015,5,2,1,0,0,0,1
-1.178,3.3569999999999998,83.1,1,0.0,2015006930,0.0,0.0,1.0,1.0,1.0,0.0,0.0,FB,2015,5,2,1,0,0,1,0
-0.618,1.9369999999999998,76.9,3,0.0,2015006930,1.0,0.0,1.0,2.0,1.0,0.0,0.0,OS,2015,5,2,0,0,1,1,0
-0.79,2.82,85.7,1,0.0,2015006931,0.0,0.0,1.0,1.0,1.0,1.0,0.0,FB,2015,5,2,0,1,0,1,0
